case,cost,ROI,Outcomes,Profit_Chance,Profit_Stat,Min_Return,Min_Return_p,Avg_loss_return,Avg_loss_return_p,Max_Return,Max_Return_p,Avg_gain_return,Avg_gain_return_p,Roll_50,Roll_50_p,Roll_100,Roll_100_p,Roll_1000,Roll_1000_p,Roll_100000,Roll_100000_p
Mil-Spec ,0.35,-997.2885714285708,73,21.508,78492,-0.29,17.142857142857142,-21.634149999999998,-61.81185714285714,27.25,7885.714285714286,18.14364,51.83897142857143,-10.809999999999999,-68.63492063492063,-19.349999999999998,-58.81458966565349,-88.93,-25.48502650809572,-3490.510000000002,-9.97288571428572
Fire and Water Case,8.0,-1009.9341249999999,29,15.05,84950,-7.66,4.25,-500.47194,-62.5589925,717.9,9073.75,419.67721,52.45965125,-187.37,-48.794270833333336,-385.3300000000001,-49.655927835051564,-1061.1100000000006,-13.250624375624383,-80794.72999999986,-10.099341249999984
Rainbow  Case,3.5,-991.632571428573,33,16.636,83364,-3.36,4.0,-221.92332000000002,-63.40666285714286,402.24,11592.57142857143,187.21617999999995,53.49033714285713,-101.72,-61.83586626139817,-161.19,-47.478645066273934,-425.7800000000002,-12.189521900944753,-34707.139999999956,-9.916325714285703
Hot  Case,5.5,-994.1916363636359,19,22.78,77220,-5.18,5.818181818181818,-313.64466999999996,-57.02630363636363,315.01,5827.454545454545,258.96413,47.08438727272728,-106.41000000000003,-38.69454545454546,-194.11,-36.01298701298701,-433.09000000000015,-7.866497139224414,-54680.54000000004,-9.94191636363637
Restricted ,2.0,-996.0299999999986,142,18.523,81477,-1.66,17.0,-94.59448,-47.29724,84.18,4309.0,74.67388000000001,37.336940000000006,-51.31,-64.1375,-94.84,-50.98924731182796,-288.1700000000001,-14.37974051896208,-19920.599999999977,-9.96029999999999
Classified  Case,3.0,-991.9376666666659,75,18.358,81642,-2.1,30.0,-117.38019,-39.12673,152.4,5180.0,87.62206000000002,29.20735333333334,-57.33,-40.65957446808511,-103.78999999999999,-36.03819444444444,-472.27999999999975,-15.805890227576965,-29758.129999999946,-9.919376666666649
Covert  Case,6.99,-997.0713876967103,39,12.599,87401,-4.04,42.20314735336195,-277.34713,-39.67770100143061,396.21,5768.240343347638,207.65183999999996,29.706987124463513,-134.81000000000003,-41.03430432532798,-247.8499999999999,-36.93520505484024,-768.4200000000019,-11.015163373958243,-69695.29000000004,-9.970713876967102
Knife  Case,150.0,-991.0990266666668,68,17.71,82290,-64.8,56.800000000000004,-3581.5315,-23.876876666666668,1686.0,1224.0,2094.88296,13.965886399999999,-1777.7199999999993,-26.935151515151507,-3151.1600000000035,-21.88305555555558,-13706.880000000005,-9.128791208791212,-1486648.539999999,-9.91099026666666
USP-S Case,1.49,-991.155704697986,53,23.882,76118,-1.43,4.026845637583892,-77.72126999999999,-52.161926174496635,195.26999999999998,13205.369127516778,62.95305,42.25036912751678,-34.7,-48.5178970917226,-61.150000000000006,-42.30955510966582,-292.54999999999995,-19.673575338596653,-14768.220000000001,-9.911557046979867
Glock-18 Case,1.49,-995.3583892617442,72,15.624,84376,-1.42,4.697986577181208,-97.71422999999999,-65.58002013422818,94.57000000000001,6446.979865771813,82.88339000000002,55.626436241610755,-46.58,-71.04942037827944,-80.36000000000001,-56.77145884846344,-189.0,-12.761130541639096,-14830.839999999997,-9.953583892617447
