case,cost,type,skin,rarity,wear,ST,price,min_val,max_val,odds,site,update
Mil-Spec ,$0.35,SG 553,Ultraviolet,3,mw ,0,$26.09,99968,99978,0.011% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,SG 553,Ultraviolet,3,mw ,1,$27.92,99990,100000,0.011% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,SG 553,Ultraviolet,3,ft ,0,$24.50,99920,99931,0.012% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,AK-47,Black Laminate,3,bs ,0,$27.50,99979,99989,0.011% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,MP7,Skulls,3,mw ,0,$25.47,99956,99967,0.012% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,AUG,Anodized Navy,3,fn ,0,$25.46,99944,99955,0.012% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,AUG,Wings,3,fn ,0,$25.42,99932,99943,0.012% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,AK-47,Elite Build,3,fn ,1,$23.49,99907,99919,0.013% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,USP-S,Stainless,3,ft ,1,$13.96,99866,99887,0.022% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,USP-S,Stainless,3,ww ,0,$6.80,99570,99615,0.046% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,Glock-18,Reactor,3,fn ,0,$10.61,99781,99809,0.029% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,Glock-18,Reactor,3,ft ,0,$6.44,99521,99569,0.049% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,P250,Hive,3,fn ,1,$11.02,99838,99865,0.028% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,P250,Hive,3,ft ,0,$4.87,99284,99348,0.065% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,UMP-45,Blaze,3,fn ,0,$15.87,99888,99906,0.019% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,AWP,Capillary,3,fn ,0,$2.67,98354,98476,0.123% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,AWP,Capillary,3,fn ,1,$10.90,99810,99837,0.028% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,Tec-9,Isaac,3,fn ,0,$10.36,99751,99780,0.030% ,https://skin.club/en/cases/open/milspec,6 days ago
Mil-Spec ,$0.35,Tec-9,Isaac,3,mw ,0,$3.14,98594,98696,0.103% ,https://skin.club/en/cases/open/milspec,6 days ago
