,case,cost,type,skin,rarity,wear,ST,price,min_val,max_val,odds,site,update,return,return_p
0,Mil-Spec ,0.35,M4A4,Radiation Hazard,3,ft ,0,27.6,99989,100000,0.012,https://skin.club/en/cases/open/milspec,14 days ago,27.25,7885.714285714286
1,Mil-Spec ,0.35,M4A4,Radiation Hazard,3,ww ,0,25.1,99975,99988,0.014,https://skin.club/en/cases/open/milspec,14 days ago,24.75,7171.4285714285725
2,Mil-Spec ,0.35,M4A1-S,Briefing,3,mw ,1,17.2,99855,99874,0.02,https://skin.club/en/cases/open/milspec,14 days ago,16.849999999999998,4914.285714285715
3,Mil-Spec ,0.35,M4A1-S,Briefing,3,bs ,1,10.53,99683,99716,0.034,https://skin.club/en/cases/open/milspec,14 days ago,10.18,3008.5714285714284
4,Mil-Spec ,0.35,M4A4,Faded Zebra,3,fn ,0,20.51,99927,99943,0.017,https://skin.club/en/cases/open/milspec,14 days ago,20.16,5860.000000000001
5,Mil-Spec ,0.35,M4A4,Faded Zebra,3,bs ,1,5.5,99329,99394,0.066,https://skin.club/en/cases/open/milspec,14 days ago,5.15,1571.4285714285716
6,Mil-Spec ,0.35,SG 553,Ultraviolet,3,mw ,1,22.5,99960,99974,0.015,https://skin.club/en/cases/open/milspec,14 days ago,22.15,6428.571428571429
7,Mil-Spec ,0.35,SSG 08,Threat Detected,3,fn ,0,22.16,99944,99959,0.016,https://skin.club/en/cases/open/milspec,14 days ago,21.81,6331.428571428572
8,Mil-Spec ,0.35,UMP-45,Blaze,3,fn ,0,20.22,99910,99926,0.017,https://skin.club/en/cases/open/milspec,14 days ago,19.869999999999997,5777.142857142857
9,Mil-Spec ,0.35,SCAR-20,Magna Carta,3,mw ,0,19.94,99893,99909,0.017,https://skin.club/en/cases/open/milspec,14 days ago,19.59,5697.142857142858
10,Mil-Spec ,0.35,MP7,Skulls,3,mw ,0,19.76,99875,99892,0.018,https://skin.club/en/cases/open/milspec,14 days ago,19.41,5645.714285714286
11,Mil-Spec ,0.35,MAC-10,Amber Fade,3,mw ,0,15.4,99832,99854,0.023,https://skin.club/en/cases/open/milspec,14 days ago,15.05,4400.000000000001
12,Mil-Spec ,0.35,USP-S,Blueprint,3,ft ,1,14.85,99808,99831,0.024,https://skin.club/en/cases/open/milspec,14 days ago,14.5,4242.857142857143
13,Mil-Spec ,0.35,P90,Glacier Mesh,3,ww ,0,13.13,99781,99807,0.027,https://skin.club/en/cases/open/milspec,14 days ago,12.780000000000001,3751.428571428572
14,Mil-Spec ,0.35,CZ75-Auto,Poison Dart,3,fn ,0,11.34,99750,99780,0.031,https://skin.club/en/cases/open/milspec,14 days ago,10.99,3240.0
15,Mil-Spec ,0.35,CZ75-Auto,Hexane,3,fn ,1,10.66,99717,99749,0.033,https://skin.club/en/cases/open/milspec,14 days ago,10.31,3045.714285714286
16,Mil-Spec ,0.35,Nova,Tempest,3,mw ,1,9.18,99644,99682,0.039,https://skin.club/en/cases/open/milspec,14 days ago,8.83,2622.8571428571427
17,Mil-Spec ,0.35,Desert Eagle,Blue Ply,3,fn ,1,8.6,99602,99643,0.042,https://skin.club/en/cases/open/milspec,14 days ago,8.25,2457.1428571428573
18,Mil-Spec ,0.35,UMP-45,Metal Flowers,3,ft ,0,3.58,98774,98876,0.103,https://skin.club/en/cases/open/milspec,14 days ago,3.23,1022.857142857143
